Name,Date,Time,Status,Latitude,Longitude,WindSpeed,Ocean
EPSILON,20051129,600, TS,31.5N,49.2W,45,Atlantic
BLANCA,19660803,0, TS,16.0N,116.0W,45,Pacific
PILAR,19870930,1200, TD,20.5N,110.8W,30,Pacific
SEBASTIEN,19951020,1200, TD,13.8N,53.8W,25,Atlantic
ISIS,19800805,1800, TD,14.9N,102.1W,25,Pacific
CARRIE,19570902,600, TD,13.0N,21.3W,25,Atlantic
IWA,19821119,1200, TS,9.7N,166.6W,40,Pacific
POLO,19840926,0, TD,12.9N,97.6W,25,Pacific
BRIDGET,19670616,0, TS,16.1N,101.4W,40,Pacific
PAINE,19860928,0, TD,11.5N,93.0W,25,Pacific
NADINE,20001019,1200, TD,26.2N,59.9W,25,Atlantic
PAULA,20101011,0, TD,13.9N,81.8W,30,Atlantic
